City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ilhabela,BR,64.51,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
2,Butaritari,KI,82.49,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
4,Itacare,BR,75.45,overcast clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
5,Kavieng,PG,84.07,moderate rain,-2.5744,150.7967,Nusa Island Retreat
6,Atuona,PF,78.55,broken clouds,-9.8,-139.0333,Villa Enata
7,Belmonte,BR,72.1,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
8,Richards Bay,ZA,73.09,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
11,Mataura,NZ,60.48,broken clouds,-46.1927,168.8643,Ellie's Villa
13,Puerto Ayora,EC,70.02,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
14,Rikitea,PF,75.67,broken clouds,-23.1203,-134.9692,People ThankYou
18,Itarema,BR,80.31,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
19,Hermanus,ZA,64.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
23,Maragogi,BR,78.51,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
24,New Norfolk,AU,62.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
25,Mar Del Plata,AR,66.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
26,Bredasdorp,ZA,64.27,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
28,Busselton,AU,77.04,broken clouds,-33.65,115.3333,Observatory Guest House
30,Lago Da Pedra,BR,74.48,overcast clouds,-4.3333,-45.1667,
31,Dakar,SN,71.73,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
33,Hilo,US,79.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
34,Cape Town,ZA,64.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
36,Kahului,US,79.86,few clouds,20.8947,-156.47,Maui Seaside Hotel
38,Rafaela,AR,70.05,overcast clouds,-31.2503,-61.4867,Parra Hotel & Suites
40,Arraial Do Cabo,BR,70.61,few clouds,-22.9661,-42.0278,Pousada Porto Praia
42,Codrington,AU,61.36,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
46,Cayenne,GF,81.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
48,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
53,Port Alfred,ZA,71.13,broken clouds,-33.5906,26.891,The Halyards Hotel
55,Burnie,AU,66.94,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
56,Hirara,JP,77.27,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
59,Cockburn Town,TC,79.74,clear sky,21.4612,-71.1419,Osprey Beach Hotel
61,Wanganui,NZ,75.74,overcast clouds,-39.9333,175.05,Aotea Motor Lodge
62,Port Elizabeth,ZA,68.29,overcast clouds,-33.918,25.5701,39 On Nile Guest House
65,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
71,Airai,TL,74.14,broken clouds,-8.9266,125.4092,Juvinal Martin
74,Sibolga,ID,77.13,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
76,Mount Gambier,AU,64.31,overcast clouds,-37.8333,140.7667,The Commodore
80,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
81,Businga,CD,69.76,broken clouds,3.3333,20.8833,
85,Kyabe,TD,71.62,clear sky,9.4515,18.9449,
87,Fukue,JP,62.96,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
